bag_size,num_features,num_models,fold,accuracy_score
0.5,0.5,20,5,0.856875
0.5,0.5,50,1,0.86875
0.5,0.5,50,2,0.86625
0.5,0.5,50,3,0.86125
0.5,0.5,50,4,0.861875
0.5,0.5,50,5,0.86875
0.5,0.5,100,1,0.876875
0.5,0.5,100,2,0.870625
0.5,0.5,100,3,0.866875
0.5,0.5,100,4,0.8625
0.5,0.5,100,5,0.8675
0.5,0.6,5,1,0.82625
0.5,0.6,5,2,0.81625
0.5,0.6,5,3,0.809375
0.5,0.6,5,4,0.829375
0.5,0.6,5,5,0.79875
0.5,0.6,10,1,0.873125
0.5,0.6,10,2,0.869375
0.5,0.6,10,3,0.86
0.5,0.6,10,4,0.86125
0.5,0.6,10,5,0.87
0.5,0.6,20,1,0.874375
0.5,0.6,20,2,0.871875
0.5,0.6,20,3,0.856875
0.5,0.6,20,4,0.855625
0.5,0.6,20,5,0.8675
0.5,0.6,50,1,0.8775
0.5,0.6,50,2,0.875
0.5,0.6,50,3,0.863125
0.5,0.6,50,4,0.865
0.5,0.6,50,5,0.860625
0.5,0.6,100,1,0.88125
0.5,0.6,100,2,0.87375
0.5,0.6,100,3,0.864375
0.5,0.6,100,4,0.863125
0.5,0.6,100,5,0.865
0.5,0.7,5,1,0.82625
0.5,0.7,5,2,0.81625
0.5,0.7,5,3,0.809375
0.5,0.7,5,4,0.829375
0.5,0.7,5,5,0.79875
0.5,0.7,10,1,0.873125
0.5,0.7,10,2,0.869375
0.5,0.7,10,3,0.86
0.5,0.7,10,4,0.86125
0.5,0.7,10,5,0.87
0.5,0.7,20,1,0.874375
0.5,0.7,20,2,0.871875
0.5,0.7,20,3,0.856875
0.5,0.7,20,4,0.855625
0.5,0.7,20,5,0.8675
0.5,0.7,50,1,0.8775
0.5,0.7,50,2,0.875
0.5,0.7,50,3,0.863125
0.5,0.7,50,4,0.865
0.5,0.7,50,5,0.860625
0.5,0.7,100,1,0.88125
0.5,0.7,100,2,0.87375
0.5,0.7,100,3,0.864375
0.5,0.7,100,4,0.863125
0.5,0.7,100,5,0.865
0.5,0.8,5,1,0.86
0.5,0.8,5,2,0.85625
0.5,0.8,5,3,0.84125
0.5,0.8,5,4,0.861875
0.5,0.8,5,5,0.84625
0.5,0.8,10,1,0.8875
0.5,0.8,10,2,0.88
0.5,0.8,10,3,0.87125
0.5,0.8,10,4,0.8725
0.5,0.8,10,5,0.87875
0.5,0.8,20,1,0.883125
0.5,0.8,20,2,0.873125
0.5,0.8,20,3,0.87125
0.5,0.8,20,4,0.865625
0.5,0.8,20,5,0.87375
0.5,0.8,50,1,0.8775
0.5,0.8,50,2,0.876875
0.5,0.8,50,3,0.865
0.5,0.8,50,4,0.87
0.5,0.8,50,5,0.866875
0.5,0.8,100,1,0.87875
0.5,0.8,100,2,0.875625
0.5,0.8,100,3,0.864375
0.5,0.8,100,4,0.871875
0.5,0.8,100,5,0.8675
0.6,0.4,5,1,0.850625
0.6,0.4,5,2,0.844375
0.6,0.4,5,3,0.841875
0.6,0.4,5,4,0.840625
0.6,0.4,5,5,0.845
0.6,0.4,10,1,0.86
0.6,0.4,10,2,0.854375
0.6,0.4,10,3,0.83875
0.6,0.4,10,4,0.86125
0.6,0.4,10,5,0.84375
0.6,0.4,20,1,0.848125
0.6,0.4,20,2,0.8375
0.6,0.4,20,3,0.82125
0.6,0.4,20,4,0.8475
0.6,0.4,20,5,0.835
0.6,0.4,50,1,0.8675
0.6,0.4,50,2,0.864375
0.6,0.4,50,3,0.86625
0.6,0.4,50,4,0.8675
0.6,0.4,50,5,0.87125
0.6,0.4,100,1,0.874375
0.6,0.4,100,2,0.869375
0.6,0.4,100,3,0.870625
0.6,0.4,100,4,0.870625
