bag_size,num_features,num_models,fold,accuracy_score
0.5,0.5,20,5,0.921875
0.5,0.5,50,1,0.94625
0.5,0.5,50,2,0.94125
0.5,0.5,50,3,0.936875
0.5,0.5,50,4,0.93125
0.5,0.5,50,5,0.94
0.5,0.5,100,1,0.953125
0.5,0.5,100,2,0.949375
0.5,0.5,100,3,0.94875
0.5,0.5,100,4,0.943125
0.5,0.5,100,5,0.950625
0.5,0.6,5,1,0.92875
0.5,0.6,5,2,0.931875
0.5,0.6,5,3,0.923125
0.5,0.6,5,4,0.934375
0.5,0.6,5,5,0.923125
0.5,0.6,10,1,0.940625
0.5,0.6,10,2,0.9375
0.5,0.6,10,3,0.923125
0.5,0.6,10,4,0.925
0.5,0.6,10,5,0.94
0.5,0.6,20,1,0.943125
0.5,0.6,20,2,0.94125
0.5,0.6,20,3,0.931875
0.5,0.6,20,4,0.9325
0.5,0.6,20,5,0.94125
0.5,0.6,50,1,0.955
0.5,0.6,50,2,0.9525
0.5,0.6,50,3,0.945625
0.5,0.6,50,4,0.943125
0.5,0.6,50,5,0.95
0.5,0.6,100,1,0.961875
0.5,0.6,100,2,0.96
0.5,0.6,100,3,0.95375
0.5,0.6,100,4,0.955625
0.5,0.6,100,5,0.95625
0.5,0.7,5,1,0.92875
0.5,0.7,5,2,0.931875
0.5,0.7,5,3,0.923125
0.5,0.7,5,4,0.934375
0.5,0.7,5,5,0.923125
0.5,0.7,10,1,0.940625
0.5,0.7,10,2,0.9375
0.5,0.7,10,3,0.923125
0.5,0.7,10,4,0.925
0.5,0.7,10,5,0.94
0.5,0.7,20,1,0.943125
0.5,0.7,20,2,0.94125
0.5,0.7,20,3,0.931875
0.5,0.7,20,4,0.9325
0.5,0.7,20,5,0.94125
0.5,0.7,50,1,0.955
0.5,0.7,50,2,0.9525
0.5,0.7,50,3,0.945625
0.5,0.7,50,4,0.943125
0.5,0.7,50,5,0.95
0.5,0.7,100,1,0.961875
0.5,0.7,100,2,0.96
0.5,0.7,100,3,0.95375
0.5,0.7,100,4,0.955625
0.5,0.7,100,5,0.95625
0.5,0.8,5,1,0.95625
0.5,0.8,5,2,0.95625
0.5,0.8,5,3,0.953125
0.5,0.8,5,4,0.960625
0.5,0.8,5,5,0.958125
0.5,0.8,10,1,0.9625
0.5,0.8,10,2,0.96625
0.5,0.8,10,3,0.96125
0.5,0.8,10,4,0.958125
0.5,0.8,10,5,0.960625
0.5,0.8,20,1,0.964375
0.5,0.8,20,2,0.9625
0.5,0.8,20,3,0.96
0.5,0.8,20,4,0.960625
0.5,0.8,20,5,0.96
0.5,0.8,50,1,0.96875
0.5,0.8,50,2,0.9675
0.5,0.8,50,3,0.961875
0.5,0.8,50,4,0.961875
0.5,0.8,50,5,0.96125
0.5,0.8,100,1,0.968125
0.5,0.8,100,2,0.969375
0.5,0.8,100,3,0.96
0.5,0.8,100,4,0.965625
0.5,0.8,100,5,0.96375
0.6,0.4,5,1,0.9
0.6,0.4,5,2,0.881875
0.6,0.4,5,3,0.8825
0.6,0.4,5,4,0.885625
0.6,0.4,5,5,0.894375
0.6,0.4,10,1,0.90375
0.6,0.4,10,2,0.8875
0.6,0.4,10,3,0.89
0.6,0.4,10,4,0.908125
0.6,0.4,10,5,0.90375
0.6,0.4,20,1,0.883125
0.6,0.4,20,2,0.87
0.6,0.4,20,3,0.871875
0.6,0.4,20,4,0.87625
0.6,0.4,20,5,0.873125
0.6,0.4,50,1,0.89875
0.6,0.4,50,2,0.898125
0.6,0.4,50,3,0.898125
0.6,0.4,50,4,0.895625
0.6,0.4,50,5,0.9075
0.6,0.4,100,1,0.904375
0.6,0.4,100,2,0.905
0.6,0.4,100,3,0.900625
0.6,0.4,100,4,0.898125
0.6,0.4,100,5,0.9125
0.6,0.5,5,1,0.929375
0.6,0.5,5,2,0.9275
0.6,0.5,5,3,0.916875
0.6,0.5,5,4,0.91625
0.6,0.5,5,5,0.921875
0.6,0.5,10,1,0.934375
0.6,0.5,10,2,0.925
0.6,0.5,10,3,0.92375
0.6,0.5,10,4,0.921875
0.6,0.5,10,5,0.928125
0.6,0.5,20,1,0.945
0.6,0.5,20,2,0.941875
0.6,0.5,20,3,0.934375
0.6,0.5,20,4,0.944375
0.6,0.5,20,5,0.94375
0.6,0.5,50,1,0.94875
0.6,0.5,50,2,0.945625
0.6,0.5,50,3,0.93625
0.6,0.5,50,4,0.941875
0.6,0.5,50,5,0.949375
0.6,0.5,100,1,0.949375
0.6,0.5,100,2,0.94625
0.6,0.5,100,3,0.935625
0.6,0.5,100,4,0.945
0.6,0.5,100,5,0.950625
0.6,0.6,5,1,0.951875
0.6,0.6,5,2,0.9525
0.6,0.6,5,3,0.9525
0.6,0.6,5,4,0.953125
0.6,0.6,5,5,0.94875
0.6,0.6,10,1,0.953125
0.6,0.6,10,2,0.95125
